"Property ID","Address Detail PID","Property Name","Address Detail Name"
124519,GAQLD719132652,"Unit 2076/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2076 UNIT 2076 123 CAVENDISH ROAD COORPAROO QLD"
124520,GAQLD719127480,"Unit 2077/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2077 UNIT 2077 123 CAVENDISH ROAD COORPAROO QLD"
124521,GAQLD719141127,"Unit 2078/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2078 UNIT 2078 123 CAVENDISH ROAD COORPAROO QLD"
124522,GAQLD719140004,"Unit 2079/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2079 UNIT 2079 123 CAVENDISH ROAD COORPAROO QLD"
124526,GASA_718983563,"Unit 208/62 City View Boulevard, Lightsview, SA 5085","UNIT 208 62 CITY VIEW BOULEVARD LIGHTSVIEW SA"
124527,GAVIC425366332,"Unit 208/8 Yarra Bing Crescent, Burwood, VIC 3125","APT 208 8 YARRA BING CRESCENT BURWOOD VIC"
124528,GANSW718377754,"Unit 208/100 Gilchrist Drive, Campbelltown, NSW 2560","UNIT 208 100 GILCHRIST DRIVE CAMPBELLTOWN NSW"
124529,GAVIC425684865,"Unit 208/12 Ormond Boulevard, Bundoora, VIC 3083","UNIT 208 12 ORMOND BOULEVARD BUNDOORA VIC"
124530,GAVIC425786056,"Unit 208/35 Princeton Terrace, Bundoora, VIC 3083","UNIT 208 35 PRINCETON TERRACE BUNDOORA VIC"
124532,GAQLD719554260,"Unit 208/148 Logan Road, Woolloongabba, QLD 4102","UNIT 208 148 LOGAN ROAD WOOLLOONGABBA QLD"
124534,GAQLD719567724,"Unit 208/36 King Street, Bowen Hills, QLD 4006","UNIT 208 36 KING STREET BOWEN HILLS QLD"
124535,GAQLD719637662,"Unit 208/11 Carriage Street, Bowen Hills, QLD 4006","UNIT 208 11 CARRIAGE STREET BOWEN HILLS QLD"
124537,GANSW719599545,"Unit 208/1 Stedman Street, Rosebery, NSW 2018","UNIT 208 1 STEDMAN STREET ROSEBERY NSW"
124539,GANSW720099782,"Unit 208/7 Durham Street, Mount Druitt, NSW 2770","UNIT 208 7 DURHAM STREET MOUNT DRUITT NSW"
124541,GANSW720173646,"Unit 208/10 Nicolle Walk, Haymarket, NSW 2000","UNIT 208 10 NICOLLE WALK HAYMARKET NSW"
124542,GANSW719943955,"Unit 208/15 Howard Avenue, Dee Why, NSW 2099","UNIT 208 15 HOWARD AVENUE DEE WHY NSW"
124543,GANSW720325668,"Unit 208/36 Oxford Street, Epping, NSW 2121","UNIT 208 36 OXFORD STREET EPPING NSW"
124544,GANSW720327636,"Unit 208/38 Oxford Street, Epping, NSW 2121","UNIT 208 38 OXFORD STREET EPPING NSW"
124545,GAQLD720330342,"Unit 208/2 Koplick Road, Chambers Flat, QLD 4133","UNIT 208 2 KOPLICK ROAD CHAMBERS FLAT QLD"
124547,GANSW719949112,"Unit 208/42 Page Street, Banksmeadow, NSW 2019","UNIT 208 42 PAGE STREET BANKSMEADOW NSW"
124548,GANSW719949133,"Unit 208/55 Holloway Street, Banksmeadow, NSW 2019","UNIT 208 55 HOLLOWAY STREET BANKSMEADOW NSW"
124549,GANSW720094738,"Unit 208/5 Confectioners Way, Rosebery, NSW 2018","UNIT 208 5 CONFECTIONERS WAY ROSEBERY NSW"
124551,GAVIC720346688,"Unit 208/127 Nicholson Street, Brunswick East, VIC 3057","UNIT 208 127 NICHOLSON STREET BRUNSWICK EAST VIC"
124552,GAVIC720441502,"Unit 208/9 Village Avenue, Brunswick East, VIC 3057","UNIT 208 9 VILLAGE AVENUE BRUNSWICK EAST VIC"
124553,GANSW720392426,"Unit 208/41 Rothschild Avenue, Rosebery, NSW 2018","UNIT 208 41 ROTHSCHILD AVENUE ROSEBERY NSW"
124555,GASA_720497314,"13 Monash Street, South Plympton, SA 5038","13 MONASH STREET SOUTH PLYMPTON SA"
124557,GANSW720600160,"Unit 208/27 Yattenden Crescent, Baulkham Hills, NSW 2153","UNIT 208 27 YATTENDEN CRESCENT BAULKHAM HILLS NSW"
124558,GAVIC720458095,"Unit 208/111 Parkview Road, Alphington, VIC 3078","UNIT 208 111 PARKVIEW ROAD ALPHINGTON VIC"
124559,GAVIC720458427,"Unit 208/101 Parkview Road, Alphington, VIC 3078","UNIT 208 101 PARKVIEW ROAD ALPHINGTON VIC"
124560,GANSW720677305,"Unit 208/18 Pemberton Street, Botany, NSW 2019","UNIT 208 18 PEMBERTON STREET BOTANY NSW"
124561,GANSW720681542,"Unit 208/1 Madden Close, Botany, NSW 2019","UNIT 208 1 MADDEN CLOSE BOTANY NSW"
124562,GANSW720687352,"Unit 208/3 Madden Close, Botany, NSW 2019","UNIT 208 3 MADDEN CLOSE BOTANY NSW"
124564,GANSW720701014,"Unit 208/88 Keira Street, Wollongong, NSW 2500","UNIT 208 88 KEIRA STREET WOLLONGONG NSW"
124565,GANSW720681403,"Unit 208/67 Flinders Street, Wollongong, NSW 2500","UNIT 208 67 FLINDERS STREET WOLLONGONG NSW"
124566,GANSW720702732,"Unit 208/73 Flinders Street, Wollongong, NSW 2500","UNIT 208 73 FLINDERS STREET WOLLONGONG NSW"
124567,GANSW720709448,"Unit 208/19 Post Office Street, Carlingford, NSW 2118","UNIT 208 19 POST OFFICE STREET CARLINGFORD NSW"
124568,GANSW720707955,"Unit 208/21 Post Office Street, Carlingford, NSW 2118","UNIT 208 21 POST OFFICE STREET CARLINGFORD NSW"
124569,GANSW720709941,"Unit 208/23 Post Office Street, Carlingford, NSW 2118","UNIT 208 23 POST OFFICE STREET CARLINGFORD NSW"
124571,GASA_720435018,"Unit 208/69 Troubridge Drive, West Lakes, SA 5021","UNIT 208 69 TROUBRIDGE DRIVE WEST LAKES SA"
124572,GAVIC720572578,"Unit 208/9 Foundation Boulevard, Burwood East, VIC 3151","UNIT 208 9 FOUNDATION BOULEVARD BURWOOD EAST VIC"
124573,GAVIC720579519,"Unit 208/11 Foundation Boulevard, Burwood East, VIC 3151","UNIT 208 11 FOUNDATION BOULEVARD BURWOOD EAST VIC"
124574,GAVIC720653044,"Unit 208/13 Foundation Boulevard, Burwood East, VIC 3151","UNIT 208 13 FOUNDATION BOULEVARD BURWOOD EAST VIC"
124575,GAVIC720656736,"Unit 208/15 Foundation Boulevard, Burwood East, VIC 3151","UNIT 208 15 FOUNDATION BOULEVARD BURWOOD EAST VIC"
124577,GAACT719825810,"Unit 208/2 Gribble Street, Gungahlin, ACT 2912","UNIT 208 2 GRIBBLE STREET GUNGAHLIN ACT"
124579,GANSW720534967,"Unit 208/4 Seymour Street, Ropes Crossing, NSW 2760","UNIT 208 4 SEYMOUR STREET ROPES CROSSING NSW"
124580,GANSW720637498,"Unit 208/30 Innesdale Road, Wolli Creek, NSW 2205","UNIT 208 30 INNESDALE ROAD WOLLI CREEK NSW"
124581,GANSW720637484,"Unit 208/27 Gertrude Street, Wolli Creek, NSW 2205","UNIT 208 27 GERTRUDE STREET WOLLI CREEK NSW"
124582,GAQLD720403143,"Unit 208/75 Highgrove Drive, Highfields, QLD 4352","UNIT 208 75 HIGHGROVE DRIVE HIGHFIELDS QLD"
124583,GAVIC720544397,"Unit 208/1849 Mount Macedon Road, Woodend, VIC 3442","UNIT 208 1849 MOUNT MACEDON ROAD WOODEND VIC"
124584,GANSW718777260,"Unit 208/14 Defries Avenue, Zetland, NSW 2017","UNIT 208 14 DEFRIES AVENUE ZETLAND NSW"
124586,GANSW718663021,"Unit 208/12 Defries Avenue, Zetland, NSW 2017","UNIT 208 12 DEFRIES AVENUE ZETLAND NSW"
124592,GAVIC425308028,"Unit 208/1 Barnet Way, Richmond, VIC 3121","UNIT 208 1 BARNET WAY RICHMOND VIC"
124593,GAVIC719421261,"Unit 208/1 Evergreen Mews, Armadale, VIC 3143","UNIT 208 1 EVERGREEN MEWS ARMADALE VIC"
124594,GANSW720382349,"Unit 208/1 Thallon Street, Carlingford, NSW 2118","UNIT 208 1 THALLON STREET CARLINGFORD NSW"
124595,GAVIC425336656,"Unit 208A/11 Champa Road, Sunshine West, VIC 3020","UNIT 208 11 CHAMPA ROAD SUNSHINE WEST VIC"
124599,GAQLD720375983,"Unit 208/9 Dux Drive, Bongaree, QLD 4507","LOT 2 UNIT 208 9 DUX DRIVE BONGAREE QLD"
124600,GAQLD424858108,"Unit 20801/8 Hercules Street, Hamilton, QLD 4007","LOT 20801 UNIT 20801 8 HERCULES STREET HAMILTON QLD"
124602,GAQLD424858109,"Unit 20802/8 Hercules Street, Hamilton, QLD 4007","LOT 20802 UNIT 20802 8 HERCULES STREET HAMILTON QLD"
124604,GAQLD424858110,"Unit 20803/8 Hercules Street, Hamilton, QLD 4007","LOT 20803 UNIT 20803 8 HERCULES STREET HAMILTON QLD"
124606,GAQLD424858111,"Unit 20804/8 Hercules Street, Hamilton, QLD 4007","LOT 20804 UNIT 20804 8 HERCULES STREET HAMILTON QLD"
124608,GAQLD424858112,"Unit 20805/8 Hercules Street, Hamilton, QLD 4007","LOT 20805 UNIT 20805 8 HERCULES STREET HAMILTON QLD"
124610,GAQLD424858113,"Unit 20806/8 Hercules Street, Hamilton, QLD 4007","LOT 20806 UNIT 20806 8 HERCULES STREET HAMILTON QLD"
124612,GAQLD424858114,"Unit 20807/8 Hercules Street, Hamilton, QLD 4007","LOT 20807 UNIT 20807 8 HERCULES STREET HAMILTON QLD"
124614,GAQLD424858115,"Unit 20808/8 Hercules Street, Hamilton, QLD 4007","LOT 20808 UNIT 20808 8 HERCULES STREET HAMILTON QLD"
124616,GAQLD424858116,"Unit 20809/8 Hercules Street, Hamilton, QLD 4007","LOT 20809 UNIT 20809 8 HERCULES STREET HAMILTON QLD"
124617,GAQLD719129534,"Unit 2081/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2081 UNIT 2081 123 CAVENDISH ROAD COORPAROO QLD"
124618,GAQLD424858117,"Unit 20810/8 Hercules Street, Hamilton, QLD 4007","LOT 20810 UNIT 20810 8 HERCULES STREET HAMILTON QLD"
124619,GAQLD424858118,"Unit 20811/8 Hercules Street, Hamilton, QLD 4007","LOT 20811 UNIT 20811 8 HERCULES STREET HAMILTON QLD"
124620,GAQLD424858119,"Unit 20812/8 Hercules Street, Hamilton, QLD 4007","LOT 20812 UNIT 20812 8 HERCULES STREET HAMILTON QLD"
124621,GAQLD719130607,"Unit 2082/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2082 UNIT 2082 123 CAVENDISH ROAD COORPAROO QLD"
124622,GAQLD719137459,"Unit 2083/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2083 UNIT 2083 123 CAVENDISH ROAD COORPAROO QLD"
124623,GAQLD719129939,"Unit 2084/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2084 UNIT 2084 123 CAVENDISH ROAD COORPAROO QLD"
124624,GAQLD719131050,"Unit 2085/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2085 UNIT 2085 123 CAVENDISH ROAD COORPAROO QLD"
124625,GAQLD719137460,"Unit 2086/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2086 UNIT 2086 123 CAVENDISH ROAD COORPAROO QLD"
124626,GAQLD719130303,"Unit 2087/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2087 UNIT 2087 123 CAVENDISH ROAD COORPAROO QLD"
124627,GAQLD719145051,"Unit 2088/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2088 UNIT 2088 123 CAVENDISH ROAD COORPAROO QLD"
124628,GAQLD719126093,"Unit 2089/123 Cavendish Road, Coorparoo, QLD 4151","LOT 2089 UNIT 2089 123 CAVENDISH ROAD COORPAROO QLD"
124630,GASA_718980674,"Unit 209/62 City View Boulevard, Lightsview, SA 5085","UNIT 209 62 CITY VIEW BOULEVARD LIGHTSVIEW SA"
124631,GAVIC425366333,"Unit 209/8 Yarra Bing Crescent, Burwood, VIC 3125","APT 209 8 YARRA BING CRESCENT BURWOOD VIC"
124632,GANSW718377755,"Unit 209/100 Gilchrist Drive, Campbelltown, NSW 2560","UNIT 209 100 GILCHRIST DRIVE CAMPBELLTOWN NSW"
124633,GAVIC425684866,"Unit 209/12 Ormond Boulevard, Bundoora, VIC 3083","UNIT 209 12 ORMOND BOULEVARD BUNDOORA VIC"
124634,GAVIC425786057,"Unit 209/35 Princeton Terrace, Bundoora, VIC 3083","UNIT 209 35 PRINCETON TERRACE BUNDOORA VIC"
124636,GAQLD719558174,"Unit 209/148 Logan Road, Woolloongabba, QLD 4102","UNIT 209 148 LOGAN ROAD WOOLLOONGABBA QLD"
124638,GAQLD719564486,"Unit 209/36 King Street, Bowen Hills, QLD 4006","UNIT 209 36 KING STREET BOWEN HILLS QLD"
124639,GAQLD719634637,"Unit 209/11 Carriage Street, Bowen Hills, QLD 4006","UNIT 209 11 CARRIAGE STREET BOWEN HILLS QLD"
124641,GANSW719599824,"Unit 209/1 Stedman Street, Rosebery, NSW 2018","UNIT 209 1 STEDMAN STREET ROSEBERY NSW"
124644,GANSW720100915,"Unit 209/7 Durham Street, Mount Druitt, NSW 2770","UNIT 209 7 DURHAM STREET MOUNT DRUITT NSW"
124646,GANSW720173799,"Unit 209/10 Nicolle Walk, Haymarket, NSW 2000","UNIT 209 10 NICOLLE WALK HAYMARKET NSW"
124647,GANSW719949262,"Unit 209/15 Howard Avenue, Dee Why, NSW 2099","UNIT 209 15 HOWARD AVENUE DEE WHY NSW"
